index,E_PV_batt,E_PV_curt,E_PV_grid,E_PV_load,E_char,E_cons,E_dis,E_grid_batt,E_grid_load,E_loss_Batt,E_loss_conv,E_loss_inv,E_loss_inv_PV,E_loss_inv_batt,E_loss_inv_grid,SOC,E_demand,E_PV,Export_price,price,Inv_P,Conv_P
2015-01-01 00:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.3919,0.0,0.0,1.3919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3919,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 01:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.3477,0.0,0.0,1.3477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3477,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 02:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.3556,0.0,0.0,1.3556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3556,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 03:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.0545,0.0,0.0,1.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0545,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 04:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.868,0.0,0.0,0.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.868,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 05:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.9077,0.0,0.0,0.9077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.876,0.0,0.0,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 07:00:00-06:00,0.0,0.0,0.0,0.0,0.0,2.0891,0.0,0.0,2.0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0891,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 08:00:00-06:00,0.0292,0.0,0.0,0.0,0.8636,2.1739,0.0,0.8343,1.2957,0.0708,0.0006,0.0439,0.0,0.0,0.0439,0.7928,1.2957,0.0298,0.1568,0.2044,0.0439,0.0298
2015-01-01 09:00:00-06:00,0.1208,0.0,0.0,0.0,0.1208,1.0714,0.0,0.0,1.0714,0.0099,0.0024,0.0,0.0,0.0,0.0,0.9037,1.0714,0.1232,0.1568,0.2044,0.0,0.1232
2015-01-01 10:00:00-06:00,0.2184,0.0,0.0,0.0,0.2184,1.147,0.0,0.0,1.147,0.0179,0.0044,0.0,0.0,0.0,0.0,1.1042,1.147,0.2228,0.1568,0.2044,0.0,0.2228
2015-01-01 11:00:00-06:00,0.3931,-0.0,0.0,0.0,0.3931,1.3204,0.0,0.0,1.3204,0.0322,0.0079,-0.0,-0.0,0.0,0.0,1.4651,1.3204,0.401,0.1568,0.2044,-0.0,0.401
2015-01-01 12:00:00-06:00,0.4765,0.0,0.0,0.0,0.4765,1.2467,0.0,0.0,1.2467,0.0391,0.0095,0.0,0.0,0.0,0.0,1.9025,1.2467,0.486,0.1568,0.2044,0.0,0.486
2015-01-01 13:00:00-06:00,0.4906,0.0,0.0,0.0,0.4906,1.4155,0.0,0.0,1.4155,0.0402,0.0098,0.0,0.0,0.0,0.0,2.3529,1.4155,0.5004,0.1568,0.2044,0.0,0.5004
2015-01-01 14:00:00-06:00,0.6148,0.0,0.0,0.0,0.6148,1.6638,0.0,0.0,1.6638,0.0504,0.0123,0.0,0.0,0.0,0.0,2.9173,1.6638,0.6271,0.1568,0.2044,0.0,0.6271
2015-01-01 15:00:00-06:00,0.4697,-0.0,0.0,0.0,0.4697,1.6179,0.0,0.0,1.6179,0.0385,0.0094,-0.0,-0.0,0.0,0.0,3.3485,1.6179,0.4791,0.1568,0.2044,-0.0,0.4791
2015-01-01 16:00:00-06:00,0.0,0.0,0.0,0.5608,0.0,2.4419,1.4247,0.0,2.4419,0.0,0.0118,0.1008,0.0295,0.0712,0.0,1.9238,4.3562,0.6021,0.1568,0.2044,2.0863,0.5726
2015-01-01 17:00:00-06:00,0.0399,0.0,0.0,0.0,0.9545,2.4419,0.0,0.9146,1.4791,0.0783,0.0008,0.0481,-0.0,0.0,0.0481,2.8,1.4791,0.0407,0.1568,0.2044,0.0481,0.0407
2015-01-01 18:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.7641,0.0,0.0,1.7641,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.7641,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 19:00:00-06:00,0.0,0.0,0.0,0.0,0.0,2.4419,2.8,0.0,2.4419,0.0,0.0,0.14,0.0,0.14,0.0,0.0,5.1019,0.0,0.1568,0.2044,2.94,0.0
2015-01-01 20:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.9467,0.0,0.0,1.9467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9467,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 21:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.964,0.0,0.0,1.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.964,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 22:00:00-06:00,0.0,0.0,0.0,0.0,0.0,2.0812,0.0,0.0,2.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0812,0.0,0.1568,0.2044,0.0,0.0
2015-01-01 23:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.8419,0.0,0.0,1.8419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8419,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 00:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.7144,0.0,0.0,1.7144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7144,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 01:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.8341,0.0,0.0,0.8341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8341,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 02:00:00-06:00,0.0,0.0,0.0,0.0,0.9428,1.7144,0.0,0.9428,0.722,0.0773,0.0,0.0496,0.0,0.0,0.0496,0.8655,0.722,0.0,0.1568,0.2044,0.0496,0.0
2015-01-02 03:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.7917,0.0,0.0,0.7917,0.0,0.0,0.0,0.0,0.0,0.0,0.8655,0.7917,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 04:00:00-06:00,0.0,0.0,0.0,0.0,0.8304,1.7144,0.0,0.8304,0.8402,0.0681,0.0,0.0437,0.0,0.0,0.0437,1.6279,0.8402,0.0,0.1568,0.2044,0.0437,0.0
2015-01-02 05:00:00-06:00,0.0,0.0,0.0,0.0,0.0066,1.2144,0.0,0.0066,1.2074,0.0005,0.0,0.0003,0.0,0.0,0.0003,1.6339,1.2074,0.0,0.1568,0.2044,0.0003,0.0
2015-01-02 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.2355,0.0,0.0,1.2355,0.0,0.0,0.0,0.0,0.0,0.0,1.6339,1.2355,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 07:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.7144,0.6943,0.0,1.7144,0.0,0.0,0.0347,0.0,0.0347,0.0,0.9396,2.374,0.0,0.1568,0.2044,0.7291,0.0
2015-01-02 08:00:00-06:00,0.0,-0.0,0.0,0.1172,0.0,1.7144,0.9396,0.0,1.7144,0.0,0.0025,0.0531,0.0062,0.047,0.0,0.0,2.7242,0.1258,0.1568,0.2044,1.1099,0.1197
2015-01-02 09:00:00-06:00,0.0,-0.0,0.0,0.1879,0.0,0.5156,0.0,0.0,0.5156,0.0,0.004,0.0099,0.0099,0.0,0.0,0.0,0.7035,0.2017,0.1568,0.2044,0.1978,0.1918
2015-01-02 10:00:00-06:00,0.5757,-0.0,0.0,0.0492,0.5757,0.5478,0.0,0.0,0.5478,0.0472,0.0126,0.0026,0.0026,0.0,0.0,0.5285,0.597,0.6401,0.1568,0.2044,0.0518,0.6375
2015-01-02 11:00:00-06:00,0.0,0.0,0.0,0.3591,0.0,0.5307,0.0,0.0,0.5307,0.0,0.0076,0.0189,0.0189,0.0,0.0,0.5285,0.8898,0.3856,0.1568,0.2044,0.378,0.3667
2015-01-02 12:00:00-06:00,0.2112,0.0,0.0,0.5924,0.2112,0.0,0.0,0.0,0.0,0.0173,0.0167,0.0312,0.0312,0.0,0.0,0.7224,0.5924,0.8515,0.1568,0.2044,0.6236,0.8203
2015-01-02 13:00:00-06:00,0.4803,0.0,0.0,0.0,0.4803,0.5456,0.0,0.0,0.5456,0.0394,0.0096,-0.0,-0.0,0.0,0.0,1.1633,0.5456,0.4899,0.1568,0.2044,-0.0,0.4899
2015-01-02 14:00:00-06:00,0.6572,0.0,0.0,0.0,0.6572,1.0321,0.0,0.0,1.0321,0.0539,0.0131,0.0,0.0,0.0,0.0,1.7666,1.0321,0.6704,0.1568,0.2044,0.0,0.6704
2015-01-02 15:00:00-06:00,0.0,0.0,0.0,0.7759,0.0,0.8948,0.0,0.0,0.8948,0.0,0.0163,0.0408,0.0408,0.0,0.0,1.7666,1.6706,0.833,0.1568,0.2044,0.8167,0.7922
2015-01-02 16:00:00-06:00,0.0,-0.0,0.0,0.4047,0.0,1.7144,1.7666,0.0,1.7144,0.0,0.0085,0.1096,0.0213,0.0883,0.0,0.0,3.7974,0.4345,0.1568,0.2044,2.281,0.4132
2015-01-02 17:00:00-06:00,0.0,0.0,0.0,0.0337,0.0,1.7095,0.0,0.0,1.7095,0.0,0.0007,0.0018,0.0018,0.0,0.0,0.0,1.7433,0.0362,0.1568,0.2044,0.0355,0.0345
2015-01-02 18:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.7504,0.0,0.0,0.7504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7504,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 19:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.0275,0.0,0.0,1.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0275,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 20:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.4685,0.0,0.0,1.4685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4685,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 21:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.5562,0.0,0.0,1.5562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5562,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 22:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.5591,0.0,0.0,1.5591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5591,0.0,0.1568,0.2044,0.0,0.0
2015-01-02 23:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.4468,0.0,0.0,1.4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4468,0.0,0.1568,0.2044,0.0,0.0
2015-01-03 00:00:00-06:00,0.0,0.0,0.0,0.0,0.0122,1.1554,0.0,0.0122,1.1425,0.001,0.0,0.0006,0.0,0.0,0.0006,0.0112,1.1425,0.0,0.1568,0.2044,0.0006,0.0
2015-01-03 01:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1554,0.0112,0.0,1.1554,0.0,0.0,0.0006,0.0,0.0006,0.0,0.0,1.166,0.0,0.1568,0.2044,0.0118,0.0
2015-01-03 02:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.7682,0.0,0.0,0.7682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7682,0.0,0.1568,0.2044,0.0,0.0
2015-01-03 03:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.7156,0.0,0.0,0.7156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7156,0.0,0.1568,0.2044,0.0,0.0
2015-01-03 04:00:00-06:00,0.0,0.0,0.0,0.0,0.1498,0.9108,0.0,0.1498,0.7531,0.0123,0.0,0.0079,0.0,0.0,0.0079,0.1375,0.7531,0.0,0.1568,0.2044,0.0079,0.0
2015-01-03 05:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,0.84,0.0,0.1568,0.2044,0.0,0.0
2015-01-03 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.068,0.0,0.0,1.068,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,1.068,0.0,0.1568,0.2044,0.0,0.0
2015-01-03 07:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1554,0.1302,0.0,1.1554,0.0,0.0,0.0065,0.0,0.0065,0.0,0.0074,1.279,0.0,0.1568,0.2044,0.1367,0.0
2015-01-03 08:00:00-06:00,0.0,-0.0,0.0,0.0803,0.0,1.1554,0.0074,0.0,1.1554,0.0,0.0017,0.0046,0.0042,0.0004,0.0,0.0,1.2427,0.0862,0.1568,0.2044,0.0923,0.082
2015-01-03 09:00:00-06:00,0.2652,0.0,0.6596,0.7937,0.2652,0.0,0.0,0.0,0.0,0.0217,0.0359,0.0765,0.0765,0.0,0.0,0.2435,0.7937,1.831,0.1568,0.2044,1.5298,1.7545
2015-01-03 10:00:00-06:00,1.3041,0.0,0.0,0.8225,1.3041,0.0,0.0,0.0,0.0,0.1069,0.0434,0.0433,0.0433,0.0,0.0,1.4406,0.8225,2.2132,0.1568,0.2044,0.8658,2.17
2015-01-03 11:00:00-06:00,2.305,0.0,0.0,0.9312,2.305,0.0,0.0,0.0,0.0,0.189,0.0657,0.049,0.049,0.0,0.0,3.5566,0.9312,3.3508,0.1568,0.2044,0.9802,3.3018
2015-01-03 12:00:00-06:00,0.6736,0.0173,2.5,0.9405,0.6736,0.0,0.0,0.0,0.0,0.0552,0.0859,0.1811,0.1811,0.0,0.0,4.175,0.9405,4.3983,0.1568,0.2044,3.6216,4.2
2015-01-03 13:00:00-06:00,0.6283,0.0134,2.5,0.9858,0.6283,0.0,0.0,0.0,0.0,0.0515,0.086,0.1835,0.1835,0.0,0.0,4.7517,0.9858,4.3969,0.1568,0.2044,3.6692,4.2
2015-01-03 14:00:00-06:00,1.6069,0.0,0.0,1.9116,1.6069,0.0,0.0,0.0,0.0,0.1318,0.0724,0.1006,0.1006,0.0,0.0,6.2269,1.9116,3.6915,0.1568,0.2044,2.0122,3.5909
2015-01-03 15:00:00-06:00,0.8414,0.0,0.0,1.0013,0.8414,0.0,0.0,0.0,0.0,0.069,0.0379,0.0527,0.0527,0.0,0.0,6.9992,1.0013,1.9333,0.1568,0.2044,1.054,1.8806
2015-01-03 16:00:00-06:00,0.0,0.0,0.0,1.0199,0.0,0.1154,0.0,0.0,0.1154,0.0,0.0215,0.0537,0.0537,0.0,0.0,6.9992,1.1353,1.0951,0.1568,0.2044,1.0736,1.0414
2015-01-03 17:00:00-06:00,0.0,-0.0,0.0,0.2091,0.0,0.6882,0.4048,0.0,0.6882,0.0,0.0044,0.0312,0.011,0.0202,0.0,6.5945,1.2818,0.2245,0.1568,0.2044,0.6451,0.2135
2015-01-03 18:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,1.2692,0.0,0.0,0.0,0.0,0.0635,0.0,0.0635,0.0,5.3253,1.2057,0.0,0.1568,0.2044,1.3326,0.0
2015-01-03 19:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9062,0.0,0.0,0.0,0.0,0.0453,0.0,0.0453,0.0,4.4191,0.8609,0.0,0.1568,0.2044,0.9515,0.0
2015-01-03 20:00:00-06:00,0.0,0.0,0.0,0.0,0.0,-0.0,1.0559,0.0,-0.0,0.0,0.0,0.0528,0.0,0.0528,0.0,3.3632,1.0031,0.0,0.1568,0.2044,1.1087,0.0
2015-01-03 21:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,1.1271,0.0,0.0,0.0,0.0,0.0564,0.0,0.0564,0.0,2.2361,1.0707,0.0,0.1568,0.2044,1.1834,0.0
2015-01-03 22:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0677,0.0,0.0,0.0,0.0,0.0534,0.0,0.0534,0.0,1.1684,1.0143,0.0,0.1568,0.2044,1.1211,0.0
2015-01-03 23:00:00-06:00,0.0,0.0,0.0,0.0,0.0,-0.0,1.1684,0.0,-0.0,0.0,0.0,0.0584,0.0,0.0584,0.0,0.0,1.11,0.0,0.1568,0.2044,1.2268,0.0
2015-01-04 00:00:00-06:00,0.0,0.0,0.0,0.0,0.0041,1.1732,0.0,0.0041,1.1689,0.0003,0.0,0.0002,0.0,0.0,0.0002,0.0037,1.1689,0.0,0.1568,0.2044,0.0002,0.0
2015-01-04 01:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1732,0.0037,0.0,1.1732,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0,1.1767,0.0,0.1568,0.2044,0.0039,0.0
2015-01-04 02:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.0253,0.0,0.0,1.0253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0253,0.0,0.1568,0.2044,0.0,0.0
2015-01-04 03:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.701,0.0,0.0,0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701,0.0,0.1568,0.2044,0.0,0.0
2015-01-04 04:00:00-06:00,0.0,0.0,0.0,0.0,0.0176,0.7452,0.0,0.0176,0.7268,0.0014,0.0,0.0009,0.0,0.0,0.0009,0.0161,0.7268,0.0,0.1568,0.2044,0.0009,0.0
2015-01-04 05:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.5384,0.0,0.0,0.5384,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.5384,0.0,0.1568,0.2044,0.0,0.0
2015-01-04 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.5329,0.0,0.0,0.5329,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.5329,0.0,0.1568,0.2044,0.0,0.0
2015-01-04 07:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.945,0.0,0.0,0.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.945,0.0,0.1568,0.2044,0.0,0.0
2015-01-04 08:00:00-06:00,0.0,-0.0,0.0,0.4979,0.0,1.1732,0.0161,0.0,1.1732,0.0,0.0105,0.027,0.0262,0.0008,0.0,0.0,1.6864,0.5346,0.1568,0.2044,0.5411,0.5084
2015-01-04 09:00:00-06:00,0.0,0.0,0.1401,1.6055,0.0,0.0,0.0,0.0,0.0,0.0,0.0367,0.0919,0.0919,0.0,0.0,0.0,1.6055,1.8742,0.1568,0.2044,1.8374,1.7823
2015-01-04 10:00:00-06:00,2.1563,0.0,0.0,0.8938,2.1563,0.0,0.0,0.0,0.0,0.1768,0.0619,0.047,0.047,0.0,0.0,1.9795,0.8938,3.1591,0.1568,0.2044,0.9409,3.112
2015-01-04 11:00:00-06:00,0.93,0.0,2.5,0.4337,0.93,0.0,0.0,0.0,0.0,0.0763,0.0804,0.1544,0.1544,0.0,0.0,2.8332,0.4337,4.0985,0.1568,0.2044,3.0881,3.9441
2015-01-04 12:00:00-06:00,1.1852,0.1855,2.5,0.4295,1.1852,0.0,0.0,0.0,0.0,0.0972,0.0854,0.1542,0.1542,0.0,0.0,3.9212,0.4295,4.5397,0.1568,0.2044,3.0837,4.2
2015-01-04 13:00:00-06:00,1.136,0.1917,2.5,0.4786,1.136,0.0,0.0,0.0,0.0,0.0932,0.0854,0.1568,0.1568,0.0,0.0,4.964,0.4786,4.5485,0.1568,0.2044,3.1353,4.2
2015-01-04 14:00:00-06:00,2.2164,0.0,0.4416,0.6366,2.2164,0.0,0.0,0.0,0.0,0.1817,0.067,0.0567,0.0567,0.0,0.0,6.9986,0.6366,3.4183,0.1568,0.2044,1.1349,3.3616
2015-01-04 15:00:00-06:00,0.0,0.0,1.6932,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0508,0.127,0.127,0.0,0.0,6.9986,0.72,2.591,0.1568,0.2044,2.5402,2.464
2015-01-04 16:00:00-06:00,0.0,0.0,0.4238,0.7813,0.0,0.0,0.0,0.0,0.0,0.0,0.0254,0.0634,0.0634,0.0,0.0,6.9986,0.7813,1.2939,0.1568,0.2044,1.2685,1.2305
2015-01-04 17:00:00-06:00,0.0,-0.0,0.0,0.1317,0.0,1.0763,0.0,0.0,1.0763,0.0,0.0028,0.0069,0.0069,0.0,0.0,6.9986,1.208,0.1414,0.1568,0.2044,0.1386,0.1345
2015-01-04 18:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.3163,2.6362,0.0,0.3163,0.0,0.0,0.1318,0.0,0.1318,0.0,4.3624,2.8208,0.0,0.1568,0.2044,2.768,0.0
2015-01-04 19:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1732,1.4767,0.0,1.1732,0.0,0.0,0.0738,0.0,0.0738,0.0,2.8858,2.5761,0.0,0.1568,0.2044,1.5505,0.0
2015-01-04 20:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1732,0.9135,0.0,1.1732,0.0,0.0,0.0457,0.0,0.0457,0.0,1.9723,2.041,0.0,0.1568,0.2044,0.9591,0.0
2015-01-04 21:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1732,0.8305,0.0,1.1732,0.0,0.0,0.0415,0.0,0.0415,0.0,1.1418,1.9622,0.0,0.1568,0.2044,0.872,0.0
2015-01-04 22:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1732,0.9792,0.0,1.1732,0.0,0.0,0.049,0.0,0.049,0.0,0.1626,2.1035,0.0,0.1568,0.2044,1.0282,0.0
2015-01-04 23:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.1732,0.1626,0.0,1.1732,0.0,0.0,0.0081,0.0,0.0081,0.0,0.0,1.3277,0.0,0.1568,0.2044,0.1707,0.0
2015-01-05 00:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.3673,0.0,0.0,1.3673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 01:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.6823,0.0,0.0,1.6823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6823,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 02:00:00-06:00,0.0,0.0,0.0,0.0,0.9753,2.4978,0.0,0.9753,1.4713,0.08,0.0,0.0513,0.0,0.0,0.0513,0.8953,1.4713,0.0,0.1568,0.2044,0.0513,0.0
2015-01-05 03:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.4755,0.0,0.0,1.4755,0.0,0.0,0.0,0.0,0.0,0.0,0.8953,1.4755,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 04:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.4194,0.0,0.0,1.4194,0.0,0.0,0.0,0.0,0.0,0.0,0.8953,1.4194,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 05:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.5477,0.0,0.0,1.5477,0.0,0.0,0.0,0.0,0.0,0.0,0.8953,1.5477,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,3.536,0.8953,0.0,3.536,0.0,0.0,0.0448,0.0,0.0448,0.0,0.0,4.3865,0.0,0.1568,0.2044,0.94,0.0
2015-01-05 07:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.8724,0.0,0.0,1.8724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8724,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 08:00:00-06:00,0.0,0.0,0.0,0.4109,0.0,0.4118,0.0,0.0,0.4118,0.0,0.0087,0.0216,0.0216,0.0,0.0,0.0,0.8227,0.4412,0.1568,0.2044,0.4326,0.4196
2015-01-05 09:00:00-06:00,0.6042,0.0,0.0,0.9292,0.6042,0.0,0.0,0.0,0.0,0.0495,0.0316,0.0489,0.0489,0.0,0.0,0.5547,0.9292,1.614,0.1568,0.2044,0.9781,1.5651
2015-01-05 10:00:00-06:00,0.0,0.0,2.2456,0.8282,0.0,0.0,0.0,0.0,0.0,0.0,0.0647,0.1618,0.1618,0.0,0.0,0.5547,0.8282,3.3003,0.1568,0.2044,3.2356,3.1385
2015-01-05 11:00:00-06:00,2.8,0.0,0.0448,1.2375,2.8,0.0,0.0,0.0,0.0,0.2296,0.083,0.0675,0.0675,0.0,0.0,3.1251,1.2375,4.2328,0.1568,0.2044,1.3498,4.1653
2015-01-05 12:00:00-06:00,0.4676,0.2287,2.5,1.1462,0.4676,0.0,0.0,0.0,0.0,0.0383,0.0861,0.1919,0.1919,0.0,0.0,3.5544,1.1462,4.6206,0.1568,0.2044,3.8382,4.2
2015-01-05 13:00:00-06:00,0.5047,0.2264,2.5,1.1092,0.5047,0.0,0.0,0.0,0.0,0.0414,0.0861,0.19,0.19,0.0,0.0,4.0177,1.1092,4.6164,0.1568,0.2044,3.7991,4.2
2015-01-05 14:00:00-06:00,2.1416,0.0,0.0,0.8269,2.1416,0.0,0.0,0.0,0.0,0.1756,0.0602,0.0435,0.0435,0.0,0.0,5.9837,0.8269,3.0723,0.1568,0.2044,0.8705,3.0288
2015-01-05 15:00:00-06:00,1.105,0.0,0.3461,0.501,1.105,0.0,0.0,0.0,0.0,0.0906,0.0399,0.0446,0.0446,0.0,0.0,6.9981,0.501,2.0366,0.1568,0.2044,0.8916,1.992
2015-01-05 16:00:00-06:00,0.0,0.0,0.7026,0.3813,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.057,0.057,0.0,0.0,6.9981,0.3813,1.1638,0.1568,0.2044,1.141,1.1067
2015-01-05 17:00:00-06:00,0.0,0.0,0.0,0.2354,0.0,1.8986,0.0,0.0,1.8986,0.0,0.005,0.0124,0.0124,0.0,0.0,6.9981,2.134,0.2527,0.1568,0.2044,0.2478,0.2403
2015-01-05 18:00:00-06:00,0.0,0.0,0.0,0.0,0.0,3.536,2.8,0.0,3.536,0.0,0.0,0.14,0.0,0.14,0.0,4.1981,6.196,0.0,0.1568,0.2044,2.94,0.0
2015-01-05 19:00:00-06:00,0.0,0.0,0.0,0.0,0.0,3.2499,1.3981,0.0,3.2499,0.0,0.0,0.0699,0.0,0.0699,0.0,2.8,4.5781,0.0,0.1568,0.2044,1.468,0.0
2015-01-05 20:00:00-06:00,0.0,0.0,0.0,0.0,0.0,2.2571,2.8,0.0,2.2571,0.0,0.0,0.14,0.0,0.14,0.0,0.0,4.9171,0.0,0.1568,0.2044,2.94,0.0
2015-01-05 21:00:00-06:00,0.0,0.0,0.0,0.0,0.0,2.8796,0.0,0.0,2.8796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8796,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 22:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.9076,0.0,0.0,1.9076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9076,0.0,0.1568,0.2044,0.0,0.0
2015-01-05 23:00:00-06:00,0.0,0.0,0.0,0.0,0.0,1.3924,0.0,0.0,1.3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3924,0.0,0.1568,0.2044,0.0,0.0
2015-01-06 00:00:00-06:00,0.0,0.0,0.0,0.0,0.2647,1.3694,0.0,0.2647,1.0908,0.0217,0.0,0.0139,0.0,0.0,0.0139,0.243,1.0908,0.0,0.1568,0.2044,0.0139,0.0
